AAS	教廷公報；宗座公報。全名是 Acta Apostolicae Sedis 。 
apostle	宗徒；使徒；門徒；傳道人被基督派往全球傳佈福音的人，簡稱 Ap. 甲指耶穌所選的十二宗徒（瑪十 1-5) 1/ Simon Peter 西滿伯鐸、伯多祿、彼得（基），宗徒之長和首位教宗。 2/ James son of Zebedee 載伯德之子雅格、雅各伯、雅各（基）。 3/ John 若望、約翰（基）。 4/ Andrew 安德、安德肋、安德列（基）。 5/ Philip 斐理、斐理伯、腓力（基）。 6/ Bartholomew 祿茂、巴爾多祿茂、巴多羅買（基）。 7/ Matthew Levi 稅吏瑪竇、馬太（基）。 8/ Thomas 多默、多馬（基）。 9/ James, of Alphaeus 阿耳斐之子雅格、雅各伯、雅各（基）。 10/ Jude Thaddeus 達德、達陡、達太（基）。 11/Simon the Zealot 熱誠者西滿、西門（基）。 12/ 出賣耶穌的 Judas Iscariot 猶達斯依斯加略、猶大（基）。猶達斯自殺後，由 Matthias 瑪迪、瑪弟亞、馬提亞（基）遞補（宗一 25-26)。乙後來聖保祿及其同伴巴爾納伯也被提升為宗徒（參閱宗九 1-16 ；宗十一 22-30 ；迦二 8)。其他追隨耶穌的稱之為弟子 disciples ，不稱宗徒 apostle （路十 1)。宗徒之拉丁文為 Apostolus 。丙指特殊努力于使徒工作，或首先開教者；如東洋使徒聖方濟．薩威 St. Francis Xavier 等。 
Apostles' Creed, the	宗徒信經；使徒信經相傳為十二宗徒所撰寫並傳揚的信理綱要，共十二條，每位宗徒維護一條，全文為我信全能的天主父，天地萬物的創造者。我信父的唯一子、我們的主耶穌基督。我信祂因聖神降孕，由童貞瑪利亞誕生。我信祂在比拉多執政時蒙難，被釘在十字架上，死而安葬。我信祂下降陰府，第三日從死者中復活。我信祂升了天，坐在全能天主父的右邊。我信祂要從天降來，審判生者死者。我信聖神。我信聖而公教會，諸聖的相通。我信罪過的赦免。我信肉身的復活。我信永恆的生命。阿們。又稱 Apostolic Creed 。「信」表示承認、心悅誠服之意。 
apostleship	宗徒身分；使徒職務。 
apostleship of prayer	祈禱宗會；祈禱福傳會為特敬耶穌聖心的世界性教友團體， 1844 年創立于法國，現有會員約數十萬人。會員每日誦念「獻功經」，每月以教宗所指定的意向祈禱，並勤參與彌撒、勤領聖體。每月第一個星期五參加聖時敬禮，以紀念耶穌苦難，並領補辱聖體。在臺灣出版了「和平」月刊。 
Apostleship of the Sea	海員宗會 1920 年創立於蘇格蘭，其宗旨為增進天主教海員的宗教、教育及社會福利。總會設於梵蒂岡城，分會設於世界各大港口，並有專職神父領導。 
apostolate	宗徒工作；宗徒事業；使徒事業；傳教事業；宗徒職位；使徒身份。 
apostolate, lay	教友傳教；教友傳教者。又稱 apostolate of the layman 。 
apostolatus (L.)	 (1) 傳教；傳教事業；使徒事業。 (2) 宗徒職位。 
apostolic	 (1) 宗徒的；傳自宗徒的；宗徒時代的。 (2) 羅馬教宗的；宗座的。 
apostolic administration	宗座署理區某地區因特殊、非常重大之理由，未經教宗成立為教區，而由宗座署理，以教宗名義照管並治理該區的教友，此地區稱之為宗座署理區（法典 371)。 
apostolic blessing	宗座祝福。詳見 blessing, apostolic 。 
Apostolic Church	從宗徒傳下來的教會；傳自宗徒的教會亦即天主教會。詳見 marks of the Church 。 
Apostolic Constitutions	 (1) 宗座憲章。 (2) 宗座初期教令集初期教會的訓言及法典，相傳由使徒授與教宗克勉一世。 
apostolic delegate	宗座代表；教廷欽使；教廷代表 (1) 指不具外交官身分的教宗使節，駐在被指派之地區，代表教宗處理事務。如教廷駐華代表剛毅總主教 Celso Costantini 。 (2) 指以教宗代表名義出席國際會議的教廷代表（參閱法典 363)。 
Apostolic Father	使徒（宗徒）時代的教父指第一、第二世紀教會的領袖及著作家，與使徒（宗徒）同時或緊隨使徒之後，其中包括教宗克勉(Pope Clement)、殉道納爵(Ignatius)、力康(Polycarb)等。 
apostolic nuncio	教廷大使。詳見 papal legate 。 
apostolic nuntiature	教廷大使館。 
apostolic preacher	宗座宣講員在將臨期與四旬期，專為教宗及其屬員講道的神父，慣例由嘉布遣會神父擔任。 
apostolic prefecture	宗座監牧區某地區因特殊環境而未成立為教區，委託宗座監牧，以教宗名義牧養並治理該區的天主子民，該地區稱之為監牧區（法典 371)。開教之初，在教務尚未完全開發的地區，習慣先成立監牧區或代牧區。 
Apostolic See	宗座；聖座；教廷。詳見 Holy See 。 
Apostolic Succession	使徒傳承；宗徒繼承。 
apostolic vicariate	宗座代牧區某地區因特殊環境而未成立為教區，委託宗座代牧，以教宗名義牧養並治理該區的天主子民，該地區稱之為代牧區（法典 371)。法典上與宗座監牧區類似，為過渡性的傳教地區。 
apostolic zeal	傳教神火；傳教熱火。 
Apostolicam Actuositatem (L.)	《教友傳教》法令梵二大公會議文獻之一(18.11.1965)，縮寫為 AA 。 
apostolicitas (L.)	從宗徒傳下來的。英文作 apostolicity 。 
apostolicity	宗徒性；使徒傳承性教會由基督的宗徒所建立，而教會的精神、教義和結構透過宗徒才能保存和發展。宗徒性是教會四特徵之一，其他三特徵是至一、至聖、至公。 
apparition	顯現；啟示一般指聖母和聖人們顯身給世人如 1858 年聖母在法國露德(Lourdes)的顯現。一般須經教會證實方可允許公開敬禮，以免被誤導。與神的顯現 epiphany / theophany 和基督的顯現 Christophany 相對照。 
apse	教堂屋頂教堂後部（走廊頂端）半圓形之頂。 
aramaic	阿拉美（姆）語耶穌時代猶太人所用的語言。原是南巴比倫和北敘利亞民族所使用的閃族語，猶太人充軍巴比倫時取代了希伯來語。目前為敘利亞用語。目前只有敘利亞的瑪路拉(Maaloula)、和它附近的巴卡、久巴汀三個村落仍然使用阿拉美（姆）語。 
arcani discipline	保密規定指初期教會的保密規定。 
archabbot	大院牧（長）；總院牧（長）本篤會（男）院長的榮銜，如我國的陸征祥即曾享有此榮銜。 
Archaeology, Commission of Sacred	宗座考古委員會教宗碧嶽九世(Pius IX)于 1851 年成立，旨在探勘並研究地下墓穴(catacombs)和梵蒂岡博物館，其最大貢獻是在伯鐸大殿下發現聖伯鐸之墓。 
archangel	總領天使；總領天神；天使長指高階層的天使，聖經上提起名字的有彌格（彌額爾） Michael （默十二 7)、佳播（加俾額爾） Gabriel （路一 26)、來福（辣法耳） Raphael （多十二 15)等三位天使。參閱 angel 。 
archbishop	總主教；大主教根據西方教會制度，數個教區組成一個教省，其首席主教稱為（總教區的）總主教；而教省總主教在省屬教區中有某些許可權（參閱法典 431-437)。從前中文也稱作大主教，如教廷首任駐華代表剛毅大主教，現在則稱總主教。簡稱 abp. 。 
archbishop, titular	領銜總主教即享有總主教的名銜而無管區的高級聖職人員。 
archbishop-elect	總主教當選人經教廷任命而尚未祝聖或尚未就任的總主教。 
archdeacon	會吏長；總執事；總六品初期教會由主教任命，協助主教處理事務者。中世紀時，由於權力增大，時有妄用職權之弊，故在特倫多大公會議中予以取消。 
archdiocese	總教區；總主教區教省內由總主教管理的教區。 
archiepiscopal cross	總主教十字架專為行大禮時前導之用。在一般十字架上多加一個較短之橫木。 
archpriest	總鐸；大司鐸；首席司鐸梵二前主教大禮彌撒中或晉鐸首祭中之襄禮司鐸（神父）。 
argumentum ad hominem (L.)	人為論證；有主觀偏見的論證。 
Arianism	亞略主義；亞流主義為基督學之異端，是三、四世紀亞略神父 Arius 所倡的學說，否認耶穌的天主性， 325 年被尼西亞大公會議(Council of Nicaea)處罰並放逐。 
aridity	神枯神修學中，一種心靈缺少精神安慰的境界。 
Ark, Noe's	諾厄方舟洪水滅世時，上主指示諾厄一家八口進入方舟避難，逃過一劫（創六 9 ；九 17)。又稱 Noah's Ark 。 
Ark of the Covenant	結約之櫃；約櫃；法櫃 (1) 以色列人在西奈沙漠中所制（可抬動）的木櫃，內藏十誡約板、盛瑪納的金罐、亞郎開花的牧杖（希九 4)。此櫃象徵天主與以色列子民間的盟約（出廿五 10-22)。 (2) 聖母禱文中，賦予聖母瑪利亞的榮銜。 
Armenian Rite	亞美尼亞禮東方教會禮（儀）之一，源于安提阿禮和拜占庭禮；六世紀末獨立，以古亞美尼亞文舉祭。回歸天主教的約十萬人，多居住在近東一帶，部分散佈在美國各地。其首領為西利西亞宗主教 Patriarch of Cilicia ；其主教座堂位於黎巴嫩的貝魯特 Beirut 。 
art, Christian	基督宗教藝術；宗教藝術；教會藝術指增進基督信仰、恩寵、熱心、敬禮、聖潔的教會藝術。自地下墓穴的象徵藝術開始，教會在每一世紀均有表達美術、裝飾、訓誨的藝術傑作，包括聖殿建築、鑲嵌細工、繪畫、雕塑、木刻、金銀作品 … 。許多美麗、高貴、而有價值的藝術品，能使人心神嚮往天主，經常用在教會正式敬禮上的稱為禮儀藝術 liturgical art ，或聖藝 sacred art 。 
articles of faith	信條教友應信的各端教理。參閱 Apostles' Creed 。 
artificial insemination	人工受精。 
Ascension of Christ	耶穌升天耶穌基督離開塵世、投向天父的日子，表示基督通過苦難，進入光榮，成為萬物的元首；同時也是人類及物質世界在末日被提升的預兆和保證。其節日在復活節後第四十日；在中國移到復活後第七主日慶祝。拉丁文稱作 Ascensio Domini 。 
ascesis	靈修功夫；苦行；苦修；禁欲；自律。 
ascetic (-al )	神修的；苦修的；禁欲的。 
asceticism	宗教的修行；神修；苦修生活；克修指倫理、身心方面的修煉之道。亦即信徒經由收斂內心和克制肉體（妄動），修煉與天主密切結合之道。 
aseity	天主的自有性；天主的自存性。 
Ash Wednesday	聖灰禮儀星期三；聖灰日四旬（封齋）期的第一天，是日神父在教友額頭上塗以聖灰，並說「人！你要記著，你原是土，將來仍要歸於土（創三 19)。」或說「你要悔改，信從福音。」此日應守大、小齋表示痛悔己罪。 
Asperges me (L.)	 (1) 滴聖水禮。 (2) 灑聖水經文主日彌撒前的灑聖水禮或經文，此為拉丁經文的首句，采自聖詠第 50 首。 
aspergillum (L.)	聖水棒；聖水罐灑聖水時所用的棒形用具，其中盛有聖水。 
aspersion	 (1) 灑水式洗禮灑水於頭頂的洗禮，為三種洗禮方式之一，今很少使用。其他為注（倒）水式 immersion 及浸水式 infusion 。 (2) 灑聖水。 
aspirant	望會生（者）；備修生；見習生有意參加修會的男女教友，準備接受正式培育前的適應期。 
aspiration	短經；熱心短誦。詳見 ejaculation 。 
Assemblies of God	神召會由美國當地幾個小教派于 1914 年聯合組成，強調聖經的震撼性及重要性。 
assembly	 (1) 善會；會眾。 (2) 集會基督信徒得自由創立並管理善會，以促進愛德及虔誠為目的（參閱法典 215)。 
assist at Mass	參與彌撒；聽彌撒；望彌撒；觀看彌撒。 
Assistant general	副總會長修會的副上司。 
assistant priest	 (1) 堂區的助理神父；副主任神父；副本堂神父。 (2) 襄禮司鐸主教大禮彌撒中的助手，或新司鐸首祭的助手。與 curate 同。 
associate pastor	堂區助理神父；副主任神父；副本堂神父。 
association, apostolic	使徒工作；使徒傳教。 
association, pius	善會乃教會認可的團體，一些志同道合的平信徒，共同努力培養更完美的生活或推行公共敬禮、或傳佈基督真理、或從事其他使徒工作－為福傳鋪路、或舉辦愛心慈善事業、或以基督化精神振奮現世秩序。此種善會與獻身生活會及使徒生活團不同，其成員身份不限，聖職人員及平信徒均可參加（法典 298)。有公立和私立之分，前者由宗座或主教成立，後者由平信徒經教會主管批准後而設立（參閱法典 312-329)。 
Assumption of the Blessed Virgin Mary	聖母蒙召升天教宗碧嶽十二世於 1950 年 11 月 1 日 頒佈《廣賜恩寵的天主》 Munificentissimus Deus 憲章，欽定聖母蒙召升天為信條「無染原罪的天主之母」，卒世童貞瑪利亞，在完成她塵世的旅程後，靈魂肉身一起被提升到天堂，進入天國的光榮，節日在八月十五日。 
Assumptionists	聖母升天會 (1)1845 年由達松神父(Emmanuel d'Alzon)創立于法國的修會；奉行聖思定會規，著黑色會服，開辦學校，編輯出版教會書籍，並負責傳教工作。該會全名為 Augustinians of the Assumption ，縮寫為 A.A. 。 (2) 另有一些修會也用此名。 
Athanasian Creed	達修信經羅馬禮儀中三信經之一，相傳為聖師達修所作。其他兩式信經為日常所用的宗徒信經 Apostolic Creed ，及彌撒中用的尼西亞信經 Nicene Creed 。 
atheism	無神論（主義）指否認造物主（超越宇宙的位格神）存在的思想或態度。亦即否定神在人的生活、思想價值中扮演任何重要角色；事實上，每人或多或少都會有某種神明的概念；而承認天主決不違背人性（尊嚴）。擁有理智和自由的人，經由造物主的安排，生活在社會中，藉以分享天主的幸福。只有無限美善的天主，和祂預許的永生，才能破解生命中的痛苦、罪惡、死亡等等啞謎。 
